tipo_dado,metrica,valor,nc,epochs,seed
real+synthetic,RMSE,1248.7895639378157,20,150,152
real+synthetic,MAPE,32.18652307987213,20,150,152
real,R²,0.5917719602584839,20,100,177
real,MAE,1103.9483642578125,20,100,177
real,RMSE,1349.6452311626192,20,100,177
real,MAPE,29.847541451454163,20,100,177
synthetic,R²,0.6101218461990356,20,100,177
synthetic,MAE,1075.2823486328125,20,100,177
synthetic,RMSE,1318.9631818212365,20,100,177
synthetic,MAPE,34.179577231407166,20,100,177
real+synthetic,R²,0.4437609910964966,20,100,177
real+synthetic,MAE,1209.0325927734375,20,100,177
real+synthetic,RMSE,1575.4293859135673,20,100,177
real+synthetic,MAPE,39.568230509757996,20,100,177
real,R²,0.42363280057907104,20,150,177
real,MAE,1332.120849609375,20,150,177
real,RMSE,1603.6805324003906,20,150,177
real,MAPE,35.316357016563416,20,150,177
synthetic,R²,0.5506182909011841,20,150,177
synthetic,MAE,1154.0233154296875,20,150,177
synthetic,RMSE,1416.0412688195213,20,150,177
synthetic,MAPE,31.877300143241882,20,150,177
real+synthetic,R²,0.5979999303817749,20,150,177
real+synthetic,MAE,1085.653076171875,20,150,177
real+synthetic,RMSE,1339.310503580107,20,150,177
real+synthetic,MAPE,37.57822513580322,20,150,177
real,R²,0.6237722635269165,20,100,203
real,MAE,1069.9444580078125,20,100,203
real,RMSE,1295.667733255714,20,100,203
real,MAPE,34.36519205570221,20,100,203
synthetic,R²,0.42901575565338135,20,100,203
synthetic,MAE,1259.145751953125,20,100,203
synthetic,RMSE,1596.1741759595036,20,100,203
synthetic,MAPE,34.60586965084076,20,100,203
real+synthetic,R²,0.45920807123184204,20,100,203
real+synthetic,MAE,1261.3978271484375,20,100,203
real+synthetic,RMSE,1553.4000611561723,20,100,203
real+synthetic,MAPE,39.64662551879883,20,100,203
real,R²,0.5944617390632629,20,150,203
real,MAE,1085.4322509765625,20,150,203
real,RMSE,1345.1915755757616,20,150,203
real,MAPE,38.484615087509155,20,150,203
synthetic,R²,0.6290767788887024,20,150,203
synthetic,MAE,1057.17724609375,20,150,203
synthetic,RMSE,1286.501311697738,20,150,203
synthetic,MAPE,34.51341986656189,20,150,203
real+synthetic,R²,0.6291733980178833,20,150,203
real+synthetic,MAE,1046.5377197265625,20,150,203
real+synthetic,RMSE,1286.333743629545,20,150,203
real+synthetic,MAPE,35.889312624931335,20,150,203
real,R²,0.6061217784881592,20,100,230
real,MAE,1054.843017578125,20,100,230
real,RMSE,1325.7121199566668,20,100,230
real,MAPE,39.001017808914185,20,100,230
synthetic,R²,0.6427795886993408,20,100,230
synthetic,MAE,1014.4898071289062,20,100,230
synthetic,RMSE,1262.5145048671718,20,100,230
synthetic,MAPE,33.71109664440155,20,100,230
real+synthetic,R²,0.12258970737457275,20,100,230
real+synthetic,MAE,1522.14453125,20,100,230
real+synthetic,RMSE,1978.6527613505104,20,100,230
real+synthetic,MAPE,38.8066291809082,20,100,230
real,R²,0.6427336931228638,20,150,230
real,MAE,1031.835693359375,20,150,230
real,RMSE,1262.5955409393778,20,150,230
real,MAPE,30.59094250202179,20,150,230
synthetic,R²,0.42961299419403076,20,150,230
synthetic,MAE,1281.4945068359375,20,150,230
synthetic,RMSE,1595.3392272491767,20,150,230
synthetic,MAPE,39.0906035900116,20,150,230
real+synthetic,R²,0.5589080452919006,20,150,230
real+synthetic,MAE,1145.1861572265625,20,150,230
real+synthetic,RMSE,1402.9196341914956,20,150,230
real+synthetic,MAPE,36.212316155433655,20,150,230
real,R²,0.59232097864151,20,100,258
real,MAE,1122.2442626953125,20,100,258
real,RMSE,1348.7373725080802,20,100,258
real,MAPE,37.47739791870117,20,100,258
synthetic,R²,0.5703272223472595,20,100,258
synthetic,MAE,1137.4107666015625,20,100,258
synthetic,RMSE,1384.6408379070726,20,100,258
synthetic,MAPE,30.499419569969177,20,100,258
real+synthetic,R²,0.5874901413917542,20,100,258
real+synthetic,MAE,1093.8321533203125,20,100,258
real+synthetic,RMSE,1356.704877635516,20,100,258
real+synthetic,MAPE,39.51641917228699,20,100,258
real,R²,0.2332724928855896,20,150,258
real,MAE,1293.622314453125,20,150,258
real,RMSE,1849.6465202843488,20,150,258
real,MAPE,35.19192039966583,20,150,258
synthetic,R²,0.6386593580245972,20,150,258
synthetic,MAE,1020.2915649414062,20,150,258
synthetic,RMSE,1269.7745370734128,20,150,258
synthetic,MAPE,35.48845052719116,20,150,258
real+synthetic,R²,0.6379342079162598,20,150,258
real+synthetic,MAE,1025.1583251953125,20,150,258
real+synthetic,RMSE,1271.0481403157003,20,150,258
real+synthetic,MAPE,31.830409169197083,20,150,258
real,R²,0.6288502812385559,20,100,287
real,MAE,995.822021484375,20,100,287
real,RMSE,1286.8940321564942,20,100,287
real,MAPE,35.29932498931885,20,100,287
synthetic,R²,0.6327310800552368,20,100,287
synthetic,MAE,1027.6983642578125,20,100,287
synthetic,RMSE,1280.1483800716228,20,100,287
synthetic,MAPE,34.56595540046692,20,100,287
real+synthetic,R²,0.63715660572052,20,100,287
real+synthetic,MAE,1015.15673828125,20,100,287
real+synthetic,RMSE,1272.4121777160103,20,100,287
real+synthetic,MAPE,34.40336883068085,20,100,287
real,R²,0.5556695461273193,20,150,287
real,MAE,1139.132568359375,20,150,287
real,RMSE,1408.0603680240417,20,150,287
real,MAPE,40.047502517700195,20,150,287
synthetic,R²,0.5806939601898193,20,150,287
synthetic,MAE,1096.043701171875,20,150,287
synthetic,RMSE,1367.835196578886,20,150,287
synthetic,MAPE,38.946732878685,20,150,287
real+synthetic,R²,0.621373176574707,20,150,287
real+synthetic,MAE,1057.5394287109375,20,150,287
real+synthetic,RMSE,1299.7920987604134,20,150,287
real+synthetic,MAPE,31.590330600738525,20,150,287
real,R²,0.5848822593688965,20,100,317
real,MAE,1115.447509765625,20,100,317
real,RMSE,1360.9865906760433,20,100,317
real,MAPE,31.57704472541809,20,100,317
synthetic,R²,0.6470947861671448,20,100,317
synthetic,MAE,1001.896240234375,20,100,317
synthetic,RMSE,1254.8657298691362,20,100,317
synthetic,MAPE,34.90402400493622,20,100,317
real+synthetic,R²,0.3732568025588989,20,100,317
real+synthetic,MAE,1328.5498046875,20,100,317
real+synthetic,RMSE,1672.295577940694,20,100,317
real+synthetic,MAPE,38.10091316699982,20,100,317
real,R²,0.23843610286712646,20,150,317
real,MAE,1316.466796875,20,150,317
real,RMSE,1843.4077139905864,20,150,317
real,MAPE,37.708356976509094,20,150,317
synthetic,R²,0.6395467519760132,20,150,317
synthetic,MAE,1032.1456298828125,20,150,317
synthetic,RMSE,1268.2144928993675,20,150,317
synthetic,MAPE,33.33795368671417,20,150,317
real+synthetic,R²,0.6457882523536682,20,150,317
real+synthetic,MAE,1019.7367553710938,20,150,317
real+synthetic,RMSE,1257.1864917346193,20,150,317
real+synthetic,MAPE,33.71628522872925,20,150,317
real,R²,0.18979865312576294,20,100,348
real,MAE,1357.185791015625,20,100,348
real,RMSE,1901.3615516255713,20,100,348
real,MAPE,41.20514690876007,20,100,348
synthetic,R²,0.30245441198349,20,100,348
synthetic,MAE,1266.275390625,20,100,348
synthetic,RMSE,1764.2272387648934,20,100,348
synthetic,MAPE,37.507569789886475,20,100,348
real+synthetic,R²,0.5789915323257446,20,100,348
real+synthetic,MAE,1065.4658203125,20,100,348
real+synthetic,RMSE,1370.6091255350666,20,100,348
real+synthetic,MAPE,41.557854413986206,20,100,348
real,R²,0.5835599899291992,20,150,348
real,MAE,1090.63818359375,20,150,348
real,RMSE,1363.1524584579672,20,150,348
real,MAPE,41.880810260772705,20,150,348
synthetic,R²,0.4424002170562744,20,150,348
synthetic,MAE,1268.19140625,20,150,348
synthetic,RMSE,1577.3553023970217,20,150,348
synthetic,MAPE,35.53346395492554,20,150,348
real+synthetic,R²,0.6367366313934326,20,150,348
real+synthetic,MAE,999.4906616210938,20,150,348
real+synthetic,RMSE,1273.1484104376834,20,150,348
real+synthetic,MAPE,33.08201730251312,20,150,348
real,R²,0.4433310627937317,20,100,380
real,MAE,1191.0020751953125,20,100,380
real,RMSE,1576.038070606164,20,100,380
real,MAPE,37.8668487071991,20,100,380
synthetic,R²,0.5910776853561401,20,100,380
synthetic,MAE,1059.8443603515625,20,100,380
synthetic,RMSE,1350.7924988687196,20,100,380
synthetic,MAPE,39.23393189907074,20,100,380
real+synthetic,R²,0.6089869737625122,20,100,380
real+synthetic,MAE,1036.321044921875,20,100,380
real+synthetic,RMSE,1320.881381881053,20,100,380
real+synthetic,MAPE,34.62884724140167,20,100,380
real,R²,0.5952224731445312,20,150,380
real,MAE,1116.489501953125,20,150,380
real,RMSE,1343.929220606502,20,150,380
real,MAPE,31.950432062149048,20,150,380
synthetic,R²,0.5648054480552673,20,150,380
synthetic,MAE,1137.7503662109375,20,150,380
synthetic,RMSE,1393.509508399566,20,150,380
synthetic,MAPE,39.34512138366699,20,150,380
real+synthetic,R²,0.5346174240112305,20,150,380
real+synthetic,MAE,1175.8553466796875,20,150,380
real+synthetic,RMSE,1441.030924373242,20,150,380
