u_idx,v_idx,u_location_id,v_location_id,edge_type,distance_m
49,242,50,246,gap_tol,0.0
50,80,51,81,gap_tol,0.0
50,180,51,184,gap_tol,0.0
51,53,52,54,strict,
52,91,53,92,gap_tol,0.0
52,134,53,138,strict,
52,248,53,252,gap_tol,0.0
53,191,54,195,gap_tol,0.0
54,105,55,108,gap_tol,0.0
55,81,56,82,gap_tol,0.0
55,92,56,93,gap_tol,0.0
55,94,56,95,strict,
55,169,56,173,strict,
55,192,56,196,strict,
57,180,58,184,gap_tol,0.0
57,204,58,208,strict,
58,59,59,60,gap_tol,0.0
58,77,59,78,gap_tol,0.0
58,163,59,167,gap_tol,0.0
59,77,60,78,gap_tol,0.0
59,122,60,126,gap_tol,0.0
59,163,60,167,gap_tol,0.0
59,208,60,212,strict,
59,209,60,213,strict,
59,238,60,242,strict,
59,244,60,248,gap_tol,0.0
60,61,61,62,strict,
60,71,61,72,gap_tol,0.0
60,173,61,177,strict,
60,185,61,189,strict,
60,221,61,225,strict,
61,71,62,72,strict,
61,184,62,188,strict,
61,185,62,189,strict,
61,186,62,190,strict,
62,75,63,76,gap_tol,0.0
62,76,63,77,gap_tol,6.529034799682914e-05
62,95,63,96,gap_tol,0.0
62,120,63,124,strict,
62,173,63,177,strict,
62,176,63,180,strict,
62,254,63,258,gap_tol,0.0
63,100,64,101,gap_tol,0.0
63,171,64,175,gap_tol,0.0
64,65,65,66,gap_tol,0.0
64,96,65,97,gap_tol,0.0
65,96,66,97,strict,
66,223,67,227,strict,
67,89,68,90,gap_tol,0.0
67,99,68,100,strict,
67,154,68,158,strict,
67,182,68,186,gap_tol,0.0
67,242,68,246,gap_tol,0.0
67,245,68,249,strict,
68,155,69,159,strict,
68,163,69,167,strict,
68,164,69,168,strict,
68,165,69,169,strict,
68,243,69,247,gap_tol,0.0
69,92,70,93,strict,
69,125,70,129,strict,
69,134,70,138,gap_tol,0.0
69,169,70,173,gap_tol,0.0
70,71,71,72,gap_tol,0.0
70,84,71,85,gap_tol,0.0
70,88,71,89,strict,
70,90,71,91,strict,
70,184,71,188,strict,
71,75,72,76,strict,
71,90,72,91,strict,
71,184,72,188,strict,
72,91,73,92,strict,
72,167,73,171,strict,
72,188,73,192,gap_tol,0.0
73,74,74,75,strict,
73,190,74,194,gap_tol,0.0
74,232,75,236,strict,
74,258,75,262,strict,
74,259,75,263,strict,
75,76,76,77,gap_tol,0.0
75,120,76,124,gap_tol,0.0
75,173,76,177,strict,
75,218,76,222,gap_tol,0.0
76,173,77,177,gap_tol,0.0
77,238,78,242,gap_tol,0.0
78,104,79,107,strict,
78,109,79,113,gap_tol,0.0
78,110,79,114,strict,
78,140,79,144,gap_tol,0.0001113116745894695
78,144,79,148,strict,
78,220,79,224,strict,
78,228,79,232,strict,
78,230,79,234,strict,
79,108,80,112,gap_tol,0.0
79,153,80,157,strict,
79,194,80,198,strict,
79,213,80,217,gap_tol,0.0
79,251,80,255,strict,
79,252,80,256,gap_tol,0.0
80,180,81,184,gap_tol,0.0
80,250,81,254,strict,
80,255,81,259,gap_tol,0.0
81,82,82,83,gap_tol,0.0
81,125,82,129,strict,
81,153,82,157,strict,
81,156,82,160,strict,
81,169,82,173,strict,
81,192,82,196,strict,
82,125,83,129,strict,
82,153,83,157,strict,
82,256,83,260,gap_tol,0.0
83,98,84,99,gap_tol,0.0
83,106,84,109,gap_tol,0.0
83,114,84,118,strict,
83,200,84,204,gap_tol,0.0
84,88,85,89,gap_tol,0.0
84,184,85,188,strict,
85,113,86,117,gap_tol,0.0
86,87,87,88,strict,
86,205,87,209,strict,
86,257,87,261,gap_tol,0.0
87,257,88,261,strict,
88,90,89,91,strict,
88,129,89,133,strict,
88,161,89,165,strict,
88,174,89,178,strict,
88,184,89,188,strict,
88,186,89,190,strict,
88,253,89,257,gap_tol,0.0
89,109,90,113,strict,
89,182,90,186,strict,
89,230,90,234,gap_tol,0.0
89,245,90,249,strict,
90,145,91,149,strict,
90,151,91,155,gap_tol,0.0
90,161,91,165,strict,
91,92,92,93,gap_tol,0.0
91,167,92,171,strict,
91,188,92,192,gap_tol,0.0
91,248,92,252,strict,
91,249,92,253,strict,
92,94,93,95,gap_tol,0.0
92,130,93,134,gap_tol,0.0
92,131,93,135,gap_tol,0.0
92,134,93,138,gap_tol,0.0
92,169,93,173,strict,
92,188,93,192,strict,
92,249,93,253,gap_tol,0.0
93,132,94,136,gap_tol,0.0
93,165,94,169,strict,
93,231,94,235,strict,
94,95,95,96,gap_tol,0.0
94,101,95,102,strict,
94,130,95,134,strict,
94,192,95,196,gap_tol,0.0
95,101,96,102,gap_tol,0.0
95,130,96,134,gap_tol,0.0
95,193,96,197,strict,
95,194,96,198,gap_tol,0.0
95,254,96,258,strict,
96,177,97,181,gap_tol,0.0
96,185,97,189,strict,
97,117,98,121,gap_tol,0.0
97,127,98,131,gap_tol,0.0
97,171,98,175,gap_tol,0.0
97,187,98,191,strict,
97,188,98,192,strict,
98,106,99,109,strict,
98,114,99,118,gap_tol,0.0
98,200,99,204,gap_tol,0.0
99,157,100,161,strict,
99,160,100,164,strict,
99,182,100,186,strict,
99,226,100,230,strict,
101,156,102,160,gap_tol,0.0
101,192,102,196,strict,
101,194,102,198,strict,
103,177,106,181,gap_tol,0.0
103,191,106,195,strict,
103,224,106,228,gap_tol,0.0
104,109,107,113,strict,
104,133,107,137,strict,
104,160,107,164,strict,
104,166,107,170,strict,
104,220,107,224,gap_tol,0.0
104,230,107,234,strict,
105,119,108,123,gap_tol,0.0
106,114,109,118,gap_tol,0.0
106,172,109,176,gap_tol,0.0
107,129,111,133,gap_tol,0.0
107,223,111,227,strict,
107,224,111,228,gap_tol,0.0
107,253,111,257,strict,
108,251,112,255,gap_tol,0.0
109,110,113,114,strict,
109,230,113,234,strict,
109,245,113,249,strict,
110,121,114,125,gap_tol,0.0
110,140,114,144,strict,
110,144,114,148,gap_tol,0.00010721190403708554
110,207,114,211,strict,
110,245,114,249,strict,
111,114,115,118,strict,
111,217,115,221,gap_tol,0.0
111,241,115,245,gap_tol,0.0
111,247,115,251,strict,
112,116,116,120,gap_tol,0.0
112,148,116,152,strict,
112,240,116,244,gap_tol,0.0
113,197,117,201,gap_tol,0.0
114,168,118,172,gap_tol,0.0
114,172,118,176,gap_tol,0.0
114,210,118,214,gap_tol,0.0
114,247,118,251,strict,
115,231,119,235,gap_tol,0.0
115,243,119,247,gap_tol,0.0
116,123,120,127,strict,
116,239,120,243,gap_tol,0.0
116,240,120,244,strict,
117,127,121,131,strict,
117,131,121,135,gap_tol,0.0
117,188,121,192,gap_tol,0.0
118,126,122,130,gap_tol,0.0
118,127,122,131,gap_tol,0.0
118,187,122,191,gap_tol,0.0
118,201,122,205,strict,
119,145,123,149,gap_tol,0.0
119,161,123,165,strict,
119,174,123,178,strict,
119,206,123,210,strict,
120,128,124,132,gap_tol,0.0
120,176,124,180,gap_tol,0.0
120,212,124,216,strict,
121,154,125,158,gap_tol,0.0
121,207,125,211,gap_tol,0.0
121,227,125,231,strict,
121,245,125,249,strict,
122,143,126,147,strict,
122,163,126,167,strict,
122,164,126,168,strict,
122,208,126,212,strict,
122,209,126,213,gap_tol,0.0
123,124,127,128,gap_tol,0.0
123,239,127,243,gap_tol,0.0
124,216,128,220,strict,
124,239,128,243,gap_tol,0.0
125,134,129,138,gap_tol,0.0
125,169,129,173,strict,
125,203,129,207,gap_tol,0.0
125,219,129,223,gap_tol,0.0
125,256,129,260,gap_tol,0.0
126,127,130,131,gap_tol,0.0
126,130,130,134,strict,
126,193,130,197,gap_tol,0.0
126,201,130,205,gap_tol,0.0
126,211,130,215,gap_tol,0.0
126,212,130,216,strict,
127,171,131,175,strict,
127,187,131,191,strict,
128,199,132,203,strict,
128,212,132,216,gap_tol,0.0
128,215,132,219,gap_tol,0.0
129,253,133,257,gap_tol,0.0
130,193,134,197,strict,
131,188,135,192,gap_tol,0.0
132,149,136,153,strict,
132,216,136,220,gap_tol,0.0
132,231,136,235,gap_tol,0.0
132,237,136,241,gap_tol,0.0
133,166,137,170,strict,
133,220,137,224,strict,
133,229,137,233,strict,
134,195,138,199,strict,
134,219,138,223,gap_tol,0.0
135,199,139,203,strict,
135,201,139,205,gap_tol,0.0
135,214,139,218,strict,
135,215,139,219,gap_tol,0.0
136,137,140,141,gap_tol,0.0
136,225,140,229,strict,
136,258,140,262,strict,
136,259,140,263,strict,
137,158,141,162,strict,
137,225,141,229,gap_tol,0.0
137,232,141,236,strict,
137,233,141,237,strict,
137,258,141,262,strict,
137,259,141,263,strict,
138,139,142,143,gap_tol,0.0
138,159,142,163,strict,
138,235,142,239,strict,
139,235,143,239,gap_tol,0.0
140,144,144,148,strict,
140,207,144,211,strict,
140,227,144,231,gap_tol,0.0
141,142,145,146,strict,
141,189,145,193,strict,
141,222,145,226,gap_tol,0.0
142,189,146,193,strict,
142,222,146,226,strict,
143,155,147,159,strict,
143,163,147,167,gap_tol,0.0
143,164,147,168,strict,
144,228,148,232,gap_tol,0.0
145,150,149,154,strict,
145,151,149,155,strict,
145,161,149,165,strict,
145,206,149,210,strict,
146,150,150,154,strict,
146,206,150,210,gap_tol,0.0
147,234,151,238,gap_tol,0.0
148,162,152,166,gap_tol,0.0
149,216,153,220,strict,
150,151,154,155,gap_tol,0.0
150,206,154,210,gap_tol,0.0
152,183,156,187,gap_tol,0.0
153,156,157,160,strict,
153,194,157,198,gap_tol,0.0
153,222,157,226,gap_tol,0.0
153,256,157,260,gap_tol,0.0
154,242,158,246,strict,
154,245,158,249,gap_tol,0.0
155,163,159,167,gap_tol,0.0
155,164,159,168,gap_tol,0.0
156,192,160,196,strict,
156,194,160,198,gap_tol,0.0
157,158,161,162,strict,
157,159,161,163,strict,
157,160,161,164,strict,
157,166,161,170,strict,
157,226,161,230,gap_tol,0.0
158,159,162,163,strict,
158,166,162,170,strict,
158,225,162,229,strict,
158,229,162,233,gap_tol,0.0
158,233,162,237,strict,
159,226,163,230,strict,
159,233,163,237,strict,
160,166,164,170,strict,
160,182,164,186,strict,
160,226,164,230,strict,
160,230,164,234,gap_tol,0.0
161,174,165,178,strict,
164,243,168,247,strict,
165,231,169,235,strict,
165,243,169,247,gap_tol,0.0
166,229,170,233,gap_tol,0.0
166,230,170,234,strict,
167,248,171,252,strict,
168,172,172,176,gap_tol,0.0
168,210,172,214,gap_tol,0.0
170,236,174,240,gap_tol,0.0
170,237,174,241,gap_tol,0.0
171,187,175,191,strict,
173,221,177,225,strict,
175,189,179,193,gap_tol,0.0
175,219,179,223,strict,
176,193,180,197,strict,
176,212,180,216,strict,
176,254,180,258,strict,
177,185,181,189,gap_tol,0.0
177,186,181,190,gap_tol,0.0
177,224,181,228,gap_tol,0.0
177,253,181,257,gap_tol,0.0
178,208,182,212,strict,
178,238,182,242,strict,
178,244,182,248,strict,
178,246,182,250,gap_tol,0.0
179,180,183,184,gap_tol,0.0
179,204,183,208,gap_tol,0.0
179,238,183,242,gap_tol,0.0
180,204,184,208,strict,
180,238,184,242,gap_tol,0.0
181,238,185,242,gap_tol,0.0
182,230,186,234,gap_tol,0.0
183,202,187,206,gap_tol,0.0
183,247,187,251,gap_tol,0.0
184,186,188,190,strict,
185,186,189,190,strict,
