dia_i,dia_j,similaridade,tipo
0,1,0.0007302738346377581,intra_val
0,2,0.0009414306244769302,intra_val
0,3,0.0009338160954503927,intra_val
0,4,0.0008423355352418834,intra_val
0,5,0.0009424426709790256,intra_val
0,6,0.00083917936931749,intra_val
0,7,0.0008411386977525974,intra_val
0,8,0.0008413329715776977,intra_val
0,9,0.0008811795476496336,intra_val
1,2,0.0007497868393890514,intra_val
1,3,0.0007504118506700524,intra_val
1,4,0.0007109895668461928,intra_val
1,5,0.0007500246895756589,intra_val
1,6,0.0007080238688753819,intra_val
1,7,0.0007094376596935499,intra_val
1,8,0.0007091931118204098,intra_val
1,9,0.0007133360508608741,intra_val
2,3,0.000977521671431314,intra_val
2,4,0.0008749163031456791,intra_val
2,5,0.0009925804984342367,intra_val
2,6,0.0008721811727696911,intra_val
2,7,0.0008742300227445233,intra_val
2,8,0.0008741688480140588,intra_val
2,9,0.0009220419263447121,intra_val
3,4,0.0008679914591013912,intra_val
3,5,0.0009775783395907188,intra_val
3,6,0.000865049332062925,intra_val
3,7,0.0008666765798932768,intra_val
3,8,0.0008668318579745547,intra_val
3,9,0.0009090803855725543,intra_val
4,5,0.0008749884537209138,intra_val
4,6,0.0008005297788049734,intra_val
4,7,0.0008024936387015969,intra_val
4,8,0.000802493563177238,intra_val
4,9,0.0008252935362700239,intra_val
5,6,0.0008722000538593404,intra_val
5,7,0.0008742757905058334,intra_val
5,8,0.0008743898322873167,intra_val
5,9,0.0009229637011414006,intra_val
6,7,0.0007995354591011197,intra_val
6,8,0.0007995062813775175,intra_val
6,9,0.0008226462301871968,intra_val
7,8,0.0008017859200553791,intra_val
7,9,0.0008241435332838101,intra_val
8,9,0.0008248340056092993,intra_val
