od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-alphabet city,22,5,2
alphabet city-alphabet city,23,5,2
alphabet city-battery park city,8,0,1
alphabet city-battery park city,6,1,1
alphabet city-battery park city,9,1,1
alphabet city-battery park city,11,1,1
alphabet city-battery park city,19,1,1
alphabet city-battery park city,22,1,1
alphabet city-battery park city,9,2,2
alphabet city-battery park city,23,2,1
alphabet city-battery park city,1,3,1
alphabet city-battery park city,6,3,2
alphabet city-battery park city,9,3,1
alphabet city-battery park city,19,3,1
alphabet city-battery park city,9,4,1
alphabet city-battery park city,18,4,1
alphabet city-battery park city,0,5,1
alphabet city-battery park city,9,5,1
alphabet city-battery park city,11,5,1
alphabet city-battery park city,15,5,1
alphabet city-battery park city,23,5,1
alphabet city-bay ridge,17,2,1
alphabet city-bay ridge,21,5,1
alphabet city-bedford,10,2,1
alphabet city-bensonhurst west,1,2,1
alphabet city-bloomfield/emerson hill,4,2,1
alphabet city-bloomingdale,16,3,1
alphabet city-boerum hill,17,2,1
alphabet city-boerum hill,19,2,1
alphabet city-boerum hill,0,4,1
alphabet city-boerum hill,2,5,1
alphabet city-boerum hill,3,5,1
alphabet city-boerum hill,7,5,1
alphabet city-boerum hill,23,5,2
alphabet city-brooklyn heights,11,0,1
alphabet city-brooklyn heights,0,1,1
alphabet city-brooklyn heights,9,1,1
alphabet city-brooklyn heights,7,2,1
alphabet city-brooklyn heights,8,2,1
alphabet city-brooklyn heights,16,2,1
alphabet city-brooklyn heights,23,4,1
alphabet city-bushwick north,2,1,1
alphabet city-bushwick north,1,2,1
alphabet city-bushwick north,9,3,1
alphabet city-bushwick north,2,4,1
alphabet city-bushwick north,4,4,1
alphabet city-bushwick north,16,4,1
alphabet city-bushwick north,3,5,1
alphabet city-bushwick south,12,2,1
alphabet city-bushwick south,9,4,1
alphabet city-bushwick south,2,5,1
alphabet city-bushwick south,3,5,1
alphabet city-canarsie,12,0,1
alphabet city-central harlem,6,0,1
alphabet city-central harlem,7,0,1
alphabet city-central harlem,1,1,1
alphabet city-central harlem,21,1,1
alphabet city-central harlem,6,2,1
alphabet city-central harlem,17,2,1
alphabet city-central harlem,0,3,1
alphabet city-central harlem,1,3,2
alphabet city-central harlem,6,3,1
alphabet city-central harlem,0,4,1
alphabet city-central harlem,6,4,1
alphabet city-central harlem,16,4,1
alphabet city-central harlem,18,4,1
alphabet city-central harlem,23,4,1
alphabet city-central harlem,2,5,1
alphabet city-central harlem,17,5,1
alphabet city-central harlem,23,5,1
alphabet city-central harlem north,2,0,1
alphabet city-central harlem north,7,1,1
alphabet city-central harlem north,12,1,1
alphabet city-central harlem north,7,2,1
alphabet city-central harlem north,22,2,1
alphabet city-central harlem north,16,3,1
alphabet city-central harlem north,19,4,1
alphabet city-central harlem north,0,5,3
alphabet city-central harlem north,4,5,1
alphabet city-central park,18,0,1
alphabet city-central park,12,1,1
alphabet city-central park,18,2,1
alphabet city-central park,22,3,1
alphabet city-central park,0,4,1
alphabet city-central park,1,4,1
alphabet city-central park,21,4,1
alphabet city-central park,22,4,1
alphabet city-central park,13,5,1
alphabet city-central park,14,5,1
alphabet city-central park,15,5,1
alphabet city-chinatown,7,0,1
alphabet city-chinatown,6,1,1
alphabet city-chinatown,7,1,1
alphabet city-chinatown,8,1,2
alphabet city-chinatown,9,1,2
alphabet city-chinatown,17,1,1
alphabet city-chinatown,19,1,1
alphabet city-chinatown,7,2,1
alphabet city-chinatown,8,2,1
alphabet city-chinatown,13,2,1
alphabet city-chinatown,19,2,1
alphabet city-chinatown,22,2,1
alphabet city-chinatown,7,3,1
alphabet city-chinatown,8,3,1
alphabet city-chinatown,10,3,1
alphabet city-chinatown,13,3,1
alphabet city-chinatown,21,3,1
alphabet city-chinatown,22,3,2
alphabet city-chinatown,2,4,1
alphabet city-chinatown,8,4,2
alphabet city-chinatown,10,4,1
alphabet city-chinatown,12,4,1
alphabet city-chinatown,17,4,1
alphabet city-chinatown,22,4,1
alphabet city-chinatown,23,4,2
alphabet city-chinatown,2,5,1
alphabet city-chinatown,15,5,1
alphabet city-chinatown,18,5,1
alphabet city-chinatown,19,5,1
alphabet city-chinatown,20,5,1
alphabet city-chinatown,22,5,1
alphabet city-chinatown,23,5,1
alphabet city-clinton east,15,0,1
alphabet city-clinton east,22,0,1
alphabet city-clinton east,23,0,1
alphabet city-clinton east,16,1,1
alphabet city-clinton east,0,2,1
alphabet city-clinton east,10,2,1
alphabet city-clinton east,15,2,1
alphabet city-clinton east,22,2,1
alphabet city-clinton east,2,3,1
alphabet city-clinton east,8,3,1
alphabet city-clinton east,9,3,1
alphabet city-clinton east,11,3,2
alphabet city-clinton east,13,3,1
alphabet city-clinton east,23,3,1
alphabet city-clinton east,0,4,1
alphabet city-clinton east,1,4,2
alphabet city-clinton east,2,4,1
alphabet city-clinton east,8,4,1
alphabet city-clinton east,10,4,1
alphabet city-clinton east,11,4,1
alphabet city-clinton east,15,4,1
alphabet city-clinton east,20,4,2
alphabet city-clinton east,21,4,1
alphabet city-clinton east,22,4,4
alphabet city-clinton east,0,5,6
alphabet city-clinton east,1,5,1
alphabet city-clinton east,2,5,3
alphabet city-clinton east,3,5,2
alphabet city-clinton east,10,5,1
alphabet city-clinton east,23,5,1
alphabet city-clinton hill,1,1,1
alphabet city-clinton hill,8,1,1
alphabet city-clinton hill,0,4,1
alphabet city-clinton hill,2,5,1
alphabet city-clinton west,15,0,1
alphabet city-clinton west,0,1,1
