od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-clinton east,21,3,2
alphabet city-clinton east,23,3,1
alphabet city-clinton hill,3,0,1
alphabet city-clinton hill,14,0,1
alphabet city-clinton hill,6,2,1
alphabet city-clinton hill,7,2,1
alphabet city-clinton hill,0,3,1
alphabet city-clinton hill,6,3,1
alphabet city-clinton west,3,0,1
alphabet city-clinton west,11,2,1
alphabet city-co-op city,9,2,1
alphabet city-co-op city,15,3,1
alphabet city-cobble hill,2,0,1
alphabet city-cobble hill,13,2,1
alphabet city-coney island,13,3,1
alphabet city-corona,9,2,2
alphabet city-crown heights north,0,1,1
alphabet city-crown heights north,12,2,1
alphabet city-crown heights north,8,3,1
alphabet city-crown heights south,9,2,1
alphabet city-crown heights south,10,3,1
alphabet city-downtown brooklyn/metrotech,2,0,1
alphabet city-downtown brooklyn/metrotech,4,0,1
alphabet city-dumbo/vinegar hill,8,2,1
alphabet city-dumbo/vinegar hill,14,2,1
alphabet city-dumbo/vinegar hill,8,3,1
alphabet city-east chelsea,0,0,2
alphabet city-east chelsea,4,0,1
alphabet city-east chelsea,6,0,1
alphabet city-east chelsea,7,0,1
alphabet city-east chelsea,13,0,2
alphabet city-east chelsea,16,0,1
alphabet city-east chelsea,0,1,1
alphabet city-east chelsea,6,1,1
alphabet city-east chelsea,7,1,1
alphabet city-east chelsea,8,1,1
alphabet city-east chelsea,12,1,1
alphabet city-east chelsea,15,1,1
alphabet city-east chelsea,16,1,1
alphabet city-east chelsea,5,2,1
alphabet city-east chelsea,6,2,1
alphabet city-east chelsea,9,2,1
alphabet city-east chelsea,11,2,1
alphabet city-east chelsea,16,2,1
alphabet city-east chelsea,23,2,1
alphabet city-east chelsea,2,3,1
alphabet city-east chelsea,6,3,2
alphabet city-east chelsea,8,3,2
alphabet city-east chelsea,9,3,1
alphabet city-east chelsea,10,3,1
alphabet city-east chelsea,13,3,1
alphabet city-east chelsea,14,3,1
alphabet city-east chelsea,15,3,1
alphabet city-east harlem north,0,0,1
alphabet city-east harlem north,5,0,1
alphabet city-east harlem north,12,0,1
alphabet city-east harlem north,14,0,1
alphabet city-east harlem north,2,1,1
alphabet city-east harlem north,16,1,1
alphabet city-east harlem north,0,3,1
alphabet city-east harlem north,6,3,1
alphabet city-east harlem north,9,3,1
alphabet city-east harlem north,23,3,1
alphabet city-east harlem south,0,0,1
alphabet city-east harlem south,6,0,1
alphabet city-east harlem south,10,0,1
alphabet city-east harlem south,2,1,1
alphabet city-east harlem south,10,1,1
alphabet city-east harlem south,12,1,1
alphabet city-east harlem south,14,1,1
alphabet city-east harlem south,8,2,1
alphabet city-east harlem south,9,2,3
alphabet city-east harlem south,6,3,1
alphabet city-east village,0,0,2
alphabet city-east village,3,0,6
alphabet city-east village,4,0,7
alphabet city-east village,5,0,1
alphabet city-east village,7,0,1
alphabet city-east village,9,0,1
alphabet city-east village,10,0,1
alphabet city-east village,12,0,2
alphabet city-east village,13,0,1
alphabet city-east village,14,0,2
alphabet city-east village,16,0,1
alphabet city-east village,17,0,1
alphabet city-east village,23,0,1
alphabet city-east village,0,1,1
alphabet city-east village,1,1,2
alphabet city-east village,7,1,1
alphabet city-east village,8,1,1
alphabet city-east village,9,1,2
alphabet city-east village,11,1,1
alphabet city-east village,12,1,1
alphabet city-east village,13,1,2
alphabet city-east village,14,1,1
alphabet city-east village,15,1,1
alphabet city-east village,18,1,2
alphabet city-east village,20,1,2
alphabet city-east village,22,1,1
alphabet city-east village,0,2,1
alphabet city-east village,8,2,2
alphabet city-east village,9,2,1
alphabet city-east village,13,2,1
alphabet city-east village,15,2,1
alphabet city-east village,16,2,1
alphabet city-east village,17,2,1
alphabet city-east village,18,2,4
alphabet city-east village,20,2,1
alphabet city-east village,21,2,1
alphabet city-east village,22,2,1
alphabet city-east village,23,2,1
alphabet city-east village,5,3,1
alphabet city-east village,6,3,1
alphabet city-east village,7,3,1
alphabet city-east village,8,3,2
alphabet city-east village,9,3,2
alphabet city-east village,10,3,1
alphabet city-east village,11,3,1
alphabet city-east village,12,3,1
alphabet city-east village,18,3,1
alphabet city-east village,20,3,2
alphabet city-east village,21,3,2
alphabet city-east village,22,3,2
alphabet city-east williamsburg,3,0,2
alphabet city-east williamsburg,8,0,2
alphabet city-east williamsburg,23,2,1
alphabet city-east williamsburg,23,3,1
alphabet city-financial district north,2,0,1
alphabet city-financial district north,3,0,2
alphabet city-financial district north,7,0,1
alphabet city-financial district north,8,0,1
alphabet city-financial district north,8,1,2
alphabet city-financial district north,11,1,1
alphabet city-financial district north,13,1,1
alphabet city-financial district north,16,1,1
alphabet city-financial district north,17,1,1
alphabet city-financial district north,22,1,2
alphabet city-financial district north,8,2,1
alphabet city-financial district north,9,2,2
alphabet city-financial district north,13,2,1
alphabet city-financial district north,20,2,1
alphabet city-financial district north,21,2,1
alphabet city-financial district north,22,2,1
alphabet city-financial district north,23,2,1
alphabet city-financial district north,0,3,1
alphabet city-financial district north,8,3,1
alphabet city-financial district north,9,3,1
alphabet city-financial district north,10,3,1
alphabet city-financial district north,17,3,1
alphabet city-financial district north,18,3,1
alphabet city-financial district north,20,3,2
alphabet city-financial district north,21,3,1
alphabet city-financial district south,7,0,1
alphabet city-financial district south,11,0,1
alphabet city-financial district south,12,0,2
alphabet city-financial district south,7,1,1
alphabet city-financial district south,15,1,1
alphabet city-financial district south,18,1,1
alphabet city-financial district south,8,2,2
alphabet city-financial district south,9,2,1
alphabet city-financial district south,18,2,1
alphabet city-financial district south,22,2,1
alphabet city-financial district south,8,3,1
alphabet city-financial district south,10,3,1
alphabet city-financial district south,19,3,1
alphabet city-flatbush/ditmas park,13,1,1
alphabet city-flatiron,0,0,1
alphabet city-flatiron,2,0,1
alphabet city-flatiron,3,0,1
alphabet city-flatiron,7,0,1
alphabet city-flatiron,11,0,1
alphabet city-flatiron,11,1,1
alphabet city-flatiron,14,1,1
