label,media,std,p10,p50,p90
od:intra_val,0.0007827913152575162,9.630727842894145e-05,0.0006675846118497088,0.0007630947749696398,0.0009165833512607682
od:intra_syn,0.0009373742783920911,5.037614098604575e-06,0.0009303998178417529,0.0009367453019398926,0.0009440606345609211
od:cross,0.0007980250155778806,7.489650963109825e-05,0.0006902098791608292,0.0008220270675308381,0.000876045909825645
