dia_i,dia_j,similaridade,tipo
0,1,0.0008286813608557324,intra_val
0,2,0.0007390248103029972,intra_val
0,3,0.0009022893603826542,intra_val
0,4,0.0009213568682981836,intra_val
0,5,0.0009026597207106899,intra_val
0,6,0.0008731002490983481,intra_val
0,7,0.0007926920984608371,intra_val
0,8,0.0006732124865746552,intra_val
0,9,0.0007140306818926203,intra_val
1,2,0.0007325565440253965,intra_val
1,3,0.0008605663469473991,intra_val
1,4,0.0008755709471600922,intra_val
1,5,0.0008601210206777237,intra_val
1,6,0.0008348238535366517,intra_val
1,7,0.0007708440005785882,intra_val
1,8,0.0006638326953664113,intra_val
1,9,0.0006983628215976296,intra_val
2,3,0.0007530849240474038,intra_val
2,4,0.0007717384863534218,intra_val
2,5,0.0007630947749696398,intra_val
2,6,0.0007454237944264204,intra_val
2,7,0.0007036866780481113,intra_val
2,8,0.0006396699479359898,intra_val
2,9,0.0006413156452231062,intra_val
3,4,0.0009628698044942822,intra_val
3,5,0.0009399082384865978,intra_val
3,6,0.0009075334467075408,intra_val
3,7,0.0008257730191116862,intra_val
3,8,0.000686336624570938,intra_val
3,9,0.0007524239524792906,intra_val
4,5,0.0009621883913212798,intra_val
4,6,0.000926210110514684,intra_val
4,7,0.000835437523795775,intra_val
4,8,0.0006985162194513312,intra_val
4,9,0.0007432128691783684,intra_val
5,6,0.0009094230757046452,intra_val
5,7,0.0008217475038298543,intra_val
5,8,0.0006902901543786785,intra_val
5,9,0.0007318405384351989,intra_val
6,7,0.0008044588173108429,intra_val
6,8,0.0006804154964910966,intra_val
6,9,0.0007218028328316383,intra_val
7,8,0.0006519470319782351,intra_val
7,9,0.0006872136424105934,intra_val
8,9,0.0006243197756349807,intra_val
