dia_i,dia_j,similaridade,tipo
0,1,0.0008467541160211749,intra_syn
0,2,0.0008393514821069018,intra_syn
0,3,0.0008404670971597705,intra_syn
0,4,0.0008372176779349258,intra_syn
0,5,0.0008448849226992653,intra_syn
0,6,0.0008429983843839279,intra_syn
0,7,0.0008457964863456247,intra_syn
0,8,0.0008433338132352477,intra_syn
0,9,0.0008407415151507307,intra_syn
1,2,0.0008416277748538353,intra_syn
1,3,0.000843108825269616,intra_syn
1,4,0.0008391716091620131,intra_syn
1,5,0.0008468750299126095,intra_syn
1,6,0.0008448819367125751,intra_syn
1,7,0.000847975968286045,intra_syn
1,8,0.0008453625737306926,intra_syn
1,9,0.0008429217523347368,intra_syn
2,3,0.0008354689453605725,intra_syn
2,4,0.0008318588991328545,intra_syn
2,5,0.0008394002705977618,intra_syn
2,6,0.0008377222526922728,intra_syn
2,7,0.000840630645392309,intra_syn
2,8,0.000837790350488942,intra_syn
2,9,0.0008357009942831152,intra_syn
3,4,0.0008339023262758386,intra_syn
3,5,0.0008407411233326341,intra_syn
3,6,0.0008394591618913095,intra_syn
3,7,0.0008418030351856114,intra_syn
3,8,0.0008391979986592777,intra_syn
3,9,0.0008372318478571098,intra_syn
4,5,0.0008374160794294909,intra_syn
4,6,0.00083565386708335,intra_syn
4,7,0.000838272523169018,intra_syn
4,8,0.0008355148519139574,intra_syn
4,9,0.0008335550199831261,intra_syn
5,6,0.0008430666080545279,intra_syn
5,7,0.0008459743462101226,intra_syn
5,8,0.0008431325911691564,intra_syn
5,9,0.0008410271482749481,intra_syn
6,7,0.0008441140864826868,intra_syn
6,8,0.0008413985945444903,intra_syn
6,9,0.0008392020079030084,intra_syn
7,8,0.0008441345285116468,intra_syn
7,9,0.0008423686342734347,intra_syn
8,9,0.0008391493419860316,intra_syn
