record_type,metric_family,metric_key,metric_label,direction,run_section,value,value_type,lower_is_better,status,source_file,tooltip_id,description
metric_point,joint,joint_coverage_real,Joint coverage (real),synth->hold,strategy_hold,0.6214822173,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,joint_coverage_real,Real joint support coverage (higher is better).
metric_point,joint,joint_coverage_real,Joint coverage (real),hold->val,strategy_hold_vs_val_real,0.5438644769,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,joint_coverage_real,Real joint support coverage (higher is better).
metric_point,joint,joint_coverage_synth,Joint coverage (synth),synth->val,strategy_val,0.5923404855,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,joint_coverage_synth,Synthetic joint support coverage (higher is better).
metric_point,joint,joint_coverage_synth,Joint coverage (synth),synth->hold,strategy_hold,0.6186524759,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,joint_coverage_synth,Synthetic joint support coverage (higher is better).
metric_point,joint,joint_coverage_synth,Joint coverage (synth),hold->val,strategy_hold_vs_val_real,0.6857965004,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,joint_coverage_synth,Synthetic joint support coverage (higher is better).
metric_point,joint,joint_unique_real,Joint unique modes (real),synth->val,strategy_val,236315.0,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,joint_unique_real,Unique OD+time mode count for real data.
metric_point,joint,joint_unique_real,Joint unique modes (real),synth->hold,strategy_hold,297986.0,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,joint_unique_real,Unique OD+time mode count for real data.
metric_point,joint,joint_unique_real,Joint unique modes (real),hold->val,strategy_hold_vs_val_real,297986.0,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,joint_unique_real,Unique OD+time mode count for real data.
metric_point,joint,joint_unique_synth,Joint unique modes (synth),synth->val,strategy_val,241373.0,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,joint_unique_synth,Unique OD+time mode count for synthetic data.
metric_point,joint,joint_unique_synth,Joint unique modes (synth),synth->hold,strategy_hold,299349.0,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,joint_unique_synth,Unique OD+time mode count for synthetic data.
metric_point,joint,joint_unique_synth,Joint unique modes (synth),hold->val,strategy_hold_vs_val_real,236315.0,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,joint_unique_synth,Unique OD+time mode count for synthetic data.
metric_point,joint,joint_mode_dropping_ratio,Joint mode dropping ratio,synth->val,strategy_val,0.394981275,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,joint_mode_dropping_ratio,Portion of real joint modes that disappear in synthetic.
metric_point,joint,joint_mode_dropping_ratio,Joint mode dropping ratio,synth->hold,strategy_hold,0.3785177827,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,joint_mode_dropping_ratio,Portion of real joint modes that disappear in synthetic.
metric_point,joint,joint_mode_dropping_ratio,Joint mode dropping ratio,hold->val,strategy_hold_vs_val_real,0.4561355231,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,joint_mode_dropping_ratio,Portion of real joint modes that disappear in synthetic.
metric_point,joint,joint_invalid_ratio,Joint invalid ratio,synth->val,strategy_val,0.4076595145,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,joint_invalid_ratio,Portion of invalid OD pairs in synthetic samples.
metric_point,joint,joint_invalid_ratio,Joint invalid ratio,synth->hold,strategy_hold,0.3813475241,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,joint_invalid_ratio,Portion of invalid OD pairs in synthetic samples.
metric_point,joint,joint_invalid_ratio,Joint invalid ratio,hold->val,strategy_hold_vs_val_real,0.3142034996,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,joint_invalid_ratio,Portion of invalid OD pairs in synthetic samples.
