record_type,metric_family,metric_key,metric_label,value,lower_is_better,tooltip_id,synth_to_val,synth_to_hold,hold_to_val,abs_gap_to_hold_val,relative_gap_to_hold_val,generalization_shift,risk_level,description,status
metrics_summary,passenger,passenger_count_chi2,passenger_count Chi²,,True,passenger_count_chi2,0.000427539,0.0009096929,,,,,unknown,Chi-square mismatch for passenger_count counts.,
metrics_summary,fare,total_amount_log1p_w1,total_amount log1p Wasserstein-1,,True,total_amount_log1p_w1,0.030997841,0.020611862,,,,,unknown,Wasserstein-1 distance for log1p(total_amount) distribution.,
metrics_summary,fare,total_amount_log1p_ks,total_amount log1p KS,,True,total_amount_log1p_ks,0.0231277807,0.0157647205,,,,,unknown,KS statistic for log1p(total_amount) distribution.,
metrics_summary,fare,total_amount_log1p_quantile_mae,total_amount log1p quantile MAE,,True,total_amount_log1p_quantile_mae,0.0483377322,0.0378766513,,,,,unknown,Log1p quantile MAE for total_amount distribution.,
metrics_summary,fare,total_amount_log1p_median_mae_by_hour,total_amount log1p median MAE by hour,,True,total_amount_log1p_median_mae_by_hour,0.0213710139,0.0134219405,,,,,unknown,Hourly median profile MAE for log1p(total_amount).,
metrics_summary,fare,total_amount_log1p_median_mae_by_passenger_count,total_amount log1p median MAE by passenger_count,,True,total_amount_log1p_median_mae_by_passenger_count,0.4252576564,0.2487669025,,,,,unknown,Profile MAE for log1p(total_amount) by passenger_count bins.,
metrics_summary,residual,exact_match_rate_discrete,Exact match rate (discrete),,False,exact_match_rate_discrete,0.9371754134,0.9364751927,,,,,unknown,Exact-match privacy rate in discrete OD/time space.,
metrics_summary,residual,exact_match_rate_with_r_rounded,Exact match rate with r rounded,,False,exact_match_rate_with_r_rounded,0.2564126229,0.2584551743,,,,,unknown,Exact-match privacy rate after residual (r) rounding.,
metrics_summary,residual,cov_te_syn_ext,cov te syn extended,,False,cov_te_syn_ext,95.994,95.748,,,,,unknown,Residual-aware extended metric from cov_te_syn_ext.,
metrics_summary,residual,cov_tr_syn_ext,cov tr syn extended,,False,cov_tr_syn_ext,96.196,95.065,,,,,unknown,Residual-aware extended metric from cov_tr_syn_ext.,
metrics_summary,residual,cov_tr_te_ext,cov tr te extended,,False,cov_tr_te_ext,96.66,95.129,,,,,unknown,Residual-aware extended metric from cov_tr_te_ext.,
metrics_summary,residual,dcr_hold_syn_p005_ext,dcr hold syn p005 extended,,True,dcr_hold_syn_p005_ext,0.0683547929,0.0664253458,,,,,unknown,Residual-aware extended metric from dcr_hold_syn_p005_ext.,
metrics_summary,residual,dcr_hold_syn_p01_ext,dcr hold syn p01 extended,,True,dcr_hold_syn_p01_ext,0.0942906886,0.0982181206,,,,,unknown,Residual-aware extended metric from dcr_hold_syn_p01_ext.,
metrics_summary,residual,dcr_hold_syn_p05_ext,dcr hold syn p05 extended,,True,dcr_hold_syn_p05_ext,0.1816420555,0.1830082238,,,,,unknown,Residual-aware extended metric from dcr_hold_syn_p05_ext.,
metrics_summary,residual,dcr_tr_syn_p005_ext,dcr tr syn p005 extended,,True,dcr_tr_syn_p005_ext,0.0720356703,0.0694560409,,,,,unknown,Residual-aware extended metric from dcr_tr_syn_p005_ext.,
metrics_summary,residual,dcr_tr_syn_p01_ext,dcr tr syn p01 extended,,True,dcr_tr_syn_p01_ext,0.0981979594,0.0976470038,,,,,unknown,Residual-aware extended metric from dcr_tr_syn_p01_ext.,
metrics_summary,residual,dcr_tr_syn_p05_ext,dcr tr syn p05 extended,,True,dcr_tr_syn_p05_ext,0.1902267486,0.185671702,,,,,unknown,Residual-aware extended metric from dcr_tr_syn_p05_ext.,
metrics_summary,residual,rdcr_p005_ext,rdcr p005 extended,,True,rdcr_p005_ext,1.0538495873,1.0456255814,,,,,unknown,Residual-aware extended metric from rdcr_p005_ext.,
metrics_summary,residual,rdcr_p01_ext,rdcr p01 extended,,True,rdcr_p01_ext,1.0414385639,0.9941852196,,,,,unknown,Residual-aware extended metric from rdcr_p01_ext.,
metrics_summary,residual,rdcr_p05_ext,rdcr p05 extended,,True,rdcr_p05_ext,1.047261594,1.014553872,,,,,unknown,Residual-aware extended metric from rdcr_p05_ext.,
training_summary,,n_sections,Training sections,7,,,,,,,,,,,
training_summary,,n_loss_rows,Training loss rows,30,,,,,,,,,,,
training_summary,,n_scalar_points,Training scalar points,960,,,,,,,,,,,
training_summary,,n_log_events,Training log events,30,,,,,,,,,,,
metrics_available,,tooltip_count,Metric tooltips,38,,,,,,,,,,,
