n_clusters, inertia, aic, bic, silhouette, calinski_harabasz, davies_bouldin
20, 0.5325189232826233, 1305.0962448120117, 2235.0699732808007, 0.3131293444047075, 32.22778962286952, 0.7463169097900391
21, 0.5117797255516052, 1439.1097564697266, 2415.6931467472136, 0.31151998634796624, 30.268996100914134, 0.7175819277763367
22, 0.4715772569179535, 1525.7837829589844, 2548.9768350451695, 0.37741052305837774, 36.82771590269904, 0.6490954160690308
23, 0.4627559781074524, 1618.242546081543, 2688.0452599764267, 0.34504746875429954, 36.10614274793477, 0.7127071619033813
24, 0.45647361874580383, 1629.5029373168945, 2745.9153130204763, 0.34554096780692567, 32.25186850209395, 0.7312728762626648
25, 0.41563642024993896, 1760.5735626220703, 2923.59560013435, 0.39730318250764335, 37.506605013273735, 0.5950225591659546
26, 0.39444199204444885, 1809.1128273010254, 3018.744526622004, 0.40178185245394415, 36.63126882760529, 0.6352300047874451
27, 0.38823679089546204, 1940.8453750610352, 3197.0867361907117, 0.3829716531998264, 37.22081163589991, 0.5957427024841309
28, 0.37678590416908264, 2039.8930130004883, 3342.744035938863, 0.38389515789741097, 35.3191004586061, 0.6000345349311829
29, 0.3668767809867859, 2182.7873878479004, 3532.2480725949736, 0.37648454968405304, 35.871198092304766, 0.6150884032249451
30, 0.3519352972507477, 2278.507968902588, 3674.578315458359, 0.3790553755786419, 35.78499558496179, 0.6462260484695435
31, 0.32800883054733276, 2396.4897537231445, 3839.169762087614, 0.41807192574332, 37.104099162695526, 0.6283215880393982
32, 0.309970498085022, 2468.879951477051, 3958.1696216502187, 0.42986595597731503, 41.08775014803645, 0.5965274572372437
33, 0.2989223599433899, 2590.460708618164, 4126.36004060003, 0.43923419999402935, 38.900367235957624, 0.5837254524230957
34, 0.28533121943473816, 2569.200454711914, 4151.709448502478, 0.48623238010868747, 37.51467411820944, 0.5218995213508606
35, 0.27023836970329285, 2775.999755859375, 4405.118411458638, 0.4595692752988724, 45.22974955103988, 0.5576238632202148
36, 0.2531127631664276, 2724.7622680664062, 4400.4905854743665, 0.5126886041578896, 41.33226230553403, 0.45915794372558594
37, 0.2435830980539322, 2855.907081604004, 4578.245060820663, 0.5121639614835383, 43.81648789064857, 0.49926191568374634
38, 0.23093244433403015, 2917.2825317382812, 4686.230172763639, 0.5162035837574795, 44.574246656591605, 0.45985352993011475
39, 0.2236260324716568, 3035.2106857299805, 4850.7679885640355, 0.5186937398383269, 45.70884785194184, 0.46808022260665894
40, 0.20869600772857666, 3135.2685546875, 4997.435519330254, 0.5381635438641663, 50.9026527163921, 0.45686882734298706
41, 0.1997254639863968, 3189.8749771118164, 5098.6516035632685, 0.5579164570102989, 49.2635510026052, 0.45474880933761597
42, 0.19022542238235474, 3232.6064834594727, 5187.992771719622, 0.5765910953276143, 48.781021147792096, 0.4231151044368744
43, 0.18236789107322693, 3303.7258834838867, 5305.721833552735, 0.5877115222187766, 48.674666354503685, 0.4324355125427246
44, 0.1731540560722351, 3399.225067138672, 5447.830679016219, 0.602521110602363, 48.85815148785117, 0.41627466678619385
