epoch,train_nll_total,train_nll_h,train_nll_o,train_nll_d,train_nll_r,train_nll_passenger,train_nll_total_amount,val_nll_total,val_nll_h,val_nll_o,val_nll_d,val_nll_r,val_nll_passenger,val_nll_total_amount
1,13.024033546447754,3.064527750015259,3.8793299198150635,4.152364253997803,0.006088691763579845,0.8311333656311035,1.0905920267105103,12.462056159973145,2.9895029067993164,3.786299705505371,3.9712467193603516,0.0004621068073902279,0.7568913102149963,0.9576523900032043
2,12.376243591308594,2.9788591861724854,3.79990553855896,3.944856643676758,0.00019886373775079846,0.7770802974700928,0.8753536343574524,12.192521095275879,2.9795281887054443,3.7832350730895996,3.906214952468872,-0.0010199379175901413,0.754029393196106,0.7705397009849548
3,12.175604820251465,2.9752044677734375,3.7960638999938965,3.9068500995635986,-0.0005783244268968701,0.7746182084083557,0.7234355211257935,12.032027244567871,2.9788479804992676,3.782822370529175,3.8843367099761963,-0.0015783478738740087,0.7529123425483704,0.6346824765205383
4,12.054091453552246,2.974837303161621,3.7944042682647705,3.8901498317718506,-0.0012496460694819689,0.7732648253440857,0.6226785182952881,11.951554298400879,2.9787182807922363,3.782661199569702,3.873507261276245,-0.001584453391842544,0.7521304488182068,0.5661240816116333
5,11.986298561096191,2.9747495651245117,3.7933804988861084,3.8806424140930176,-0.0016436740988865495,0.7724459767341614,0.5667172074317932,11.908161163330078,2.978644847869873,3.7817189693450928,3.8667707443237305,-0.0017224218463525176,0.7514452934265137,0.5313038229942322
6,11.942058563232422,2.974719285964966,3.7926719188690186,3.8744537830352783,-0.001877147820778191,0.7717636227607727,0.5303376317024231,11.86916446685791,2.9785594940185547,3.7826249599456787,3.862455368041992,-0.002298546489328146,0.7509356737136841,0.4968912899494171
7,11.909850120544434,2.9747164249420166,3.792210817337036,3.8698573112487793,-0.002139484975486994,0.7711519598960876,0.5040531158447266,11.856830596923828,2.9785518646240234,3.7820069789886475,3.858999013900757,-0.002425078535452485,0.7504934072494507,0.48920342326164246
8,11.885003089904785,2.9747166633605957,3.7918550968170166,3.8660316467285156,-0.002186054131016135,0.7706294059753418,0.4839656949043274,11.829850196838379,2.978583812713623,3.782066583633423,3.856137990951538,-0.0019979255739599466,0.7501722574234009,0.4648893475532532
9,11.865129470825195,2.974703311920166,3.791559934616089,3.863430976867676,-0.0024479625280946493,0.7702344655990601,0.4676418602466583,11.815747261047363,2.978522777557373,3.782146692276001,3.8540632724761963,-0.002707462990656495,0.74979168176651,0.45393291115760803
10,11.848801612854004,2.9747095108032227,3.791261911392212,3.860837936401367,-0.002574558835476637,0.7698293924331665,0.4547266662120819,11.804609298706055,2.9785714149475098,3.782156229019165,3.853114366531372,-0.0022074992302805185,0.7494546175003052,0.4435194134712219
11,11.836015701293945,2.974702835083008,3.7911274433135986,3.858721971511841,-0.0026552854105830193,0.7694675922393799,0.4446530342102051,11.786338806152344,2.978605270385742,3.7819793224334717,3.8502840995788574,-0.0026163908187299967,0.7498454451560974,0.42824259400367737
