category,real_prob,synth_prob,abs_diff
236,0.05020665158652142,0.050234058958739114,2.7407372217694292e-05
237,0.046804483115231554,0.047256704756823524,0.0004522216415919697
161,0.040470639395722256,0.04007323249856568,0.0003974068971565742
230,0.032342526375027866,0.03444923971949468,0.0021067133444668124
162,0.03098494787117804,0.030840602377498184,0.000144345493679858
170,0.02993067761987071,0.02995077635949702,2.009873962631123e-05
142,0.029507690508644286,0.030122529225394573,0.0006148387167502871
239,0.02802221093444522,0.030117961330024957,0.002095750395579736
141,0.026236163844925435,0.026144805937533117,9.135790739231778e-05
163,0.02592097906442194,0.028106260209246153,0.0021852811448242124
68,0.024744289217208906,0.02490416555514546,0.0001598763379365535
238,0.023225920796348606,0.023169278893765372,5.664190258323348e-05
48,0.02312268636099529,0.022171650545041277,0.0009510358159540121
234,0.023014884030272357,0.024299376208208327,0.0012844921779359697
186,0.021689280794009846,0.02108540502614663,0.0006038757678632142
164,0.021638120365870147,0.02206384821431834,0.0004257278484481944
229,0.02119412093594349,0.01982557948320659,0.001368541452736901
140,0.02111646671466002,0.019851159697276438,0.001265307017383581
263,0.02006767793779623,0.01901523484463674,0.0010524430931594872
246,0.018453383714173998,0.019435481218641398,0.0009820975044673996
