category,real_prob,synth_prob,abs_diff
237,0.05267148792796612,0.05264590771389627,2.5580214069849394e-05
132,0.05124630457264598,0.04783865462691258,0.0034076499457334
161,0.05083153967308487,0.053083512090305464,0.0022519724172205963
236,0.047821296624508035,0.04793732116689628,0.00011602454238824472
138,0.03999192396098652,0.03667745908079328,0.003314464880193241
162,0.038097160961669874,0.03706847092443239,0.0010286900372374827
186,0.03507960928050166,0.03470686901834101,0.0003727402621606507
142,0.03491973294256511,0.03619600290883577,0.0012762699662706573
230,0.03395225270328048,0.03471965912537594,0.000767406422095461
163,0.0304468497966373,0.031365910345004,0.0009190605483667021
170,0.03032899809610121,0.02990509740580086,0.0004239006903003495
239,0.02771342120745919,0.02791806292001798,0.0002046417125587882
68,0.02679253350094464,0.026981644369246736,0.00018911086830209617
234,0.025644164605023223,0.028138235476833463,0.0024940708718102396
48,0.024587153616494124,0.024716881844991212,0.0001297282284970884
141,0.02266132892866409,0.02256266238868039,9.866653998370084e-05
164,0.02265219313792486,0.022722538726616944,7.03455886920841e-05
140,0.020923701530062233,0.0212772566316705,0.0003535551016082654
238,0.02035910966237772,0.020194665429071546,0.0001644442333061727
249,0.01915044454757737,0.02012340626130554,0.0009729617137281682
