step,tag,value
1,train/nll_total,13.024077415466309
1,train/nll_h,3.0645298957824707
1,train/nll_o,3.8793671131134033
1,train/nll_d,4.152467250823975
1,train/nll_r,0.00607739482074976
1,train/nll_passenger,0.8310912847518921
1,train/nll_total_amount,1.0905492305755615
1,val/nll_total,12.461112976074219
1,val/nll_h,2.9895167350769043
1,val/nll_o,3.786313056945801
1,val/nll_d,3.973130702972412
1,val/nll_r,0.0005818867939524353
1,val/nll_passenger,0.7568696141242981
1,val/nll_total_amount,0.9547025561332703
1,train/grad_norm,0.6692763764400074
1,train/param_norm,105.74525277734107
