category,real_prob,synth_prob,abs_diff
237,0.05267148792796612,0.05314928978362793,0.00047780185566181216
132,0.05124630457264598,0.0478514447339475,0.003394859838698479
161,0.05083153967308487,0.053512894255049355,0.0026813545819644874
236,0.047821296624508035,0.04776830903822049,5.2987586287543686e-05
138,0.03999192396098652,0.036869310686317144,0.003122613274669374
162,0.038097160961669874,0.03711323629905463,0.0009839246626152445
186,0.03507960928050166,0.03443279529616407,0.0006468139843375936
142,0.03491973294256511,0.03581504043500981,0.000895307492444701
230,0.03395225270328048,0.03539296690285731,0.00144071419957683
163,0.0304468497966373,0.031124725469488287,0.0006778756728509881
170,0.03032899809610121,0.030241294505004585,8.770359109662451e-05
239,0.02771342120745919,0.027649470672284567,6.395053517462349e-05
68,0.02679253350094464,0.027052903537012743,0.0002603700360681027
234,0.025644164605023223,0.028101692313876537,0.002457527708853314
48,0.024587153616494124,0.024609993093342202,2.2839476848078577e-05
141,0.02266132892866409,0.02228584792928167,0.0003754809993824215
164,0.02265219313792486,0.022865057062148957,0.0002128639242240972
140,0.020923701530062233,0.021496515609412056,0.0005728140793498232
238,0.02035910966237772,0.020441331779030802,8.222211665308288e-05
249,0.01915044454757737,0.020127060577601233,0.0009766160300238615
