record_type,metric_table,run_section,metric_key,value,value_type,source_file,status,section_type,split,row_index,category,feature,real_prob,synth_prob,abs_diff
section_metric,metrics,strategy_hold,od_jsd_rr,0.0046891346,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,od_chi2_rr,7056.7956943883,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,od_coverage_real_rr,0.8724604243,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,od_coverage_synth_rr,0.8749276946,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,od_unique_real_rr,15603.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,od_unique_synth_rr,15559.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_jsd_rr,0.0772635526,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_chi2_rr,139772.0044960986,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_coverage_real_rr,0.8332072522,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_coverage_synth_rr,0.8322943036,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_unique_real_rr,237942.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_unique_synth_rr,238203.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_mode_dropping_ratio_rr,0.1667927478,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,joint_invalid_ratio_rr,0.1677056964,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,w1_tr_te,7.1789426852,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,w1_tr_syn,7.0016630011,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,w1_te_syn,0.2293759524,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,g_tr_te,94.9274183305,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,g_tr_syn,93.9727300226,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,g_te_syn,92.9292633995,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
