category,real_prob,synth_prob,abs_diff
236,0.05020665158652142,0.05016097263282526,4.5678953696157154e-05
237,0.046804483115231554,0.04729050718255868,0.0004860240673271246
161,0.040470639395722256,0.03983113404397604,0.000639505351746214
230,0.032342526375027866,0.03445837551023391,0.002115849135206044
162,0.03098494787117804,0.030648750771974317,0.000336197099203725
170,0.02993067761987071,0.02993341835709248,2.740737221770817e-06
142,0.029507690508644286,0.030287887037774668,0.0007801965291303822
239,0.02802221093444522,0.030238553767782818,0.0022163428333375965
141,0.026236163844925435,0.02625534900547782,1.918516055238531e-05
163,0.02592097906442194,0.028097124418506918,0.0021761453540849775
68,0.024744289217208906,0.025073177683821245,0.00032888846661233845
238,0.023225920796348606,0.02294362486250635,0.0002822959338422554
48,0.02312268636099529,0.021882959557681554,0.001239726803313735
234,0.023014884030272357,0.024599030144455122,0.0015841461141827655
186,0.021689280794009846,0.02096024469301916,0.0007290361009906869
164,0.021638120365870147,0.022141502435601812,0.000503382069731665
229,0.02119412093594349,0.019739703050257813,0.001454417885685677
140,0.02111646671466002,0.019962616344295064,0.0011538503703649554
263,0.02006767793779623,0.018859926402069804,0.001207751535726425
246,0.018453383714173998,0.01949943175381602,0.0010460480396420231
